Phylum	Class	Order	Family	Genus	Species	OTU	contaminant	Control	Mock	Sample
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Genus_Blautia	ASV_0269	FALSE	0.00861400637436472	0	0.0122002815342949
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Genus_Breznakia	ASV_0375	FALSE	0	0	0.00496114684759179
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Genus_Breznakia	ASV_0497	FALSE	0	0	0.00180189170905769
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Genus_Breznakia	ASV_0818	FALSE	0	0	0.000105232628478147
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Genus_Butyricicoccus	ASV_0270	FALSE	0	0	0.0154559006492809
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Genus_Butyricicoccus	ASV_0293	FALSE	0	0	0.0114414726282608
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Genus_Butyricicoccus	ASV_0823	FALSE	0	0	0.000114836954608802
Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Genus_Butyricimonas	ASV_0751	FALSE	0	0.000189063079005679	0.00019172700011393
Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Genus_Butyricimonas	ASV_0828	FALSE	0	0	7.52087156876832e-05
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Genus_Butyrivibrio	ASV_0044	FALSE	0.0701258291224299	0.00318670466176638	0.493783926183298
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Genus_Butyrivibrio	ASV_0261	FALSE	0	0	0.0150159982852827
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Caproiciproducens	Genus_Caproiciproducens	ASV_0811	FALSE	0	0	6.88678215701368e-05
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	Genus_Christensenella	ASV_0401	FALSE	0	0	0.00405461040206564
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	Genus_Christensenella	ASV_0476	FALSE	0	0	0.00214675010765113
Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	Genus_Christensenella	ASV_0784	FALSE	0	0	0.000111228843738413
Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Genus_Chryseobacterium	ASV_0801	FALSE	0.0144645233457407	0	6.45268446514924e-06
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	Genus_Clostridium_IV	ASV_0820	FALSE	0	0	6.63183028083098e-05
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb	Genus_Clostridium_XlVb	ASV_0691	FALSE	0	0	0.000496843822203264
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	Genus_Clostridium_XVIII	ASV_0308	FALSE	0	0	0.00765832028571527
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	Genus_Clostridium_XVIII	ASV_0451	FALSE	0	0	0.0024539860132634
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	Genus_Clostridium_XVIII	ASV_0552	FALSE	0	0	0.00105657036102558
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Colidextribacter	Genus_Colidextribacter	ASV_0172	FALSE	0	0	0.0417340328140087
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Colidextribacter	Genus_Colidextribacter	ASV_0239	FALSE	0.00312175750156308	0	0.0193801626994915
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Colidextribacter	Genus_Colidextribacter	ASV_0295	FALSE	0	0.000189063079005679	0.0123190090280824
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Colidextribacter	Genus_Colidextribacter	ASV_0339	FALSE	0	0	0.0065292236477552
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Genus_Collinsella	ASV_0644	FALSE	0	0	0.000525860344731357
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Genus_Croceicoccus	ASV_0733	FALSE	0.0536261686285736	0	0.00110732535681901
Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Desnuesiella	Genus_Desnuesiella	ASV_0227	FALSE	0.00422404325420292	0	0.0311254708330937
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Genus_Dielma	ASV_0585	FALSE	0	0	0.000719097353589147
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Genus_Dyadobacter	ASV_0843	FALSE	0.00482150778191356	0	0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Dysosmobacter	Genus_Dysosmobacter	ASV_0132	FALSE	0.00478680819370259	0	0.0630068473729643
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Dysosmobacter	Genus_Dysosmobacter	ASV_0264	FALSE	0	0	0.0157763086740731
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Genus_Enterocloster	ASV_0176	FALSE	0.00251344694113507	0.000151026375246173	0.0642574276950988
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Genus_Enterocloster	ASV_0275	FALSE	0.0119239544834406	0	0.0132350313983087
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Genus_Enterococcus	ASV_0110	FALSE	0.00149013530428563	0.000621579196877299	0.0877470063717537
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Genus_Enterococcus	ASV_0525	FALSE	0	0	0.00151078256645667
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Genus_Erysipelatoclostridium	ASV_0211	FALSE	0.0208329387700991	0.000101994190410914	0.0272643167313775
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	Genus_Escherichia/Shigella	ASV_0185	FALSE	0.0183002708440085	0.709392303299262	0.000294573240626389
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	Genus_Escherichia/Shigella	ASV_0463	FALSE	0.0036600541688017	0.00917078013249915	0.00121046400254047
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ethanoligenens	Genus_Ethanoligenens	ASV_0364	FALSE	0.00298027060857126	0	0.00542791239340408
