Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0.0463661732286588,0.00154576088486707,0.283480881907128,ASV_0064,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0306780270260529,0.00336100809137425,0.286862484388397,ASV_0065,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0632427214614868,0.000480120348422273,0.252153027062254,ASV_0066,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,Genus_Agathobacter,0.0240994684507749,0.000378999884782284,0.248899011691924,ASV_0067,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.0721168420608607,0.00203738910746478,0.278271887472555,ASV_0068,FALSE,FALSE
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa/alcaligenes/alcaliphila/anguilliseptica/azelaica/balearica/citronellolis/delhiensis/denitrificans/fluorescens/fragi/guezennei/knackmussii/mendocina/mosselii/nitroreducens/otitidis/panipatensis/peli/pseudoalcaligenes/putida/resinovorans/sp/stutzeri/thermaerum/tropicalis,0.140996722475214,5.47704127132422,0.00119735387815278,ASV_0069,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.0788672135001259,0.00111086295609449,0.266874117101378,ASV_0070,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Genus_Eubacterium,0.0659333104195954,0.000713959332876399,0.228535709941388,ASV_0071,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,Genus_Longibaculum,0.00571641016187434,0.000137809382062731,0.296867969515268,ASV_0072,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,0.0719329844320896,0.00139073430506253,0.248154830048486,ASV_0073,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae_1,Peptococcus,Genus_Peptococcus,0.0394365706186185,0.00162294152986216,0.242087057945836,ASV_0074,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0237919913414472,0.00187583341196542,0.23052274882426,ASV_0075,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Genus_Intestinimonas,0.0239965583714248,0.000101994190410914,0.207413552475017,ASV_0076,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,durans/faecalis/faecium,0.00812505100431204,4.39466439284049,0.00472251788390408,ASV_0077,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Ihubacter,Genus_Ihubacter,0.0456333313933927,0.000865008216998004,0.213844618197209,ASV_0078,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.0455053494089518,0.000275618764125462,0.211310957771685,ASV_0079,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0766351911646024,0.000146765292943525,0.199471874317719,ASV_0080,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.00712976637253649,0.000317841643844042,0.195190448995864,ASV_0081,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Genus_Ruminococcus,0.00616546481615378,0,0.259049478334274,ASV_0082,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0104326506154576,0,0.199468566956989,ASV_0083,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0152336408323161,0.000643864876382383,0.172503427401342,ASV_0084,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.052277983266867,0.000598809566581636,0.195116937113764,ASV_0085,TRUE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,Genus_Monoglobus,0.025748891520663,0.000101994190410914,0.233641498178569,ASV_0086,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena,Genus_Longicatena,0.0381975459194652,0.000494150819975047,0.179529240222085,ASV_0087,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Genus_Barnesiella,0.00848203258259888,0.00113668901451311,0.16435675358679,ASV_0088,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII,cocleatum,0.000964301556382712,0,0.125461117421356,ASV_0089,FALSE,FALSE
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Family_Desulfovibrionaceae,Family_Desulfovibrionaceae,0.0190862081483046,0.000189063079005679,0.1584722371201,ASV_0090,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.0158935016477701,0.000291057269416594,0.159388279787053,ASV_0091,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0.00596054121714252,0.000203988380821828,0.134527938388109,ASV_0092,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.0152952747783685,0.00183406184936392,0.146089540484963,ASV_0093,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.02245241582998,0.000227400898688352,0.131997369710787,ASV_0094,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Genus_Paramuribaculum,0.026663298748306,0,0.139326563296561,ASV_0095,FALSE,FALSE
Bacteria,Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,0.0254395322073477,0.00102590649212866,0.134768398660006,ASV_0096,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0.0210640285882159,0.000189063079005679,0.121246847341803,ASV_0097,FALSE,FALSE
